Name	UUID	URI	URI_request_status
AbstractCircuitComponentRounding	f69727b9-8a39-40e5-8e7a-0243a3421727	https://github.com/KronosTheLate/AbstractCircuitComponentRounding.jl.git	404
AlgorithmsCollection	9ff941b3-d743-4c60-9dd5-2748db76006b	https://github.com/Julia-Algorithms/AlgorithmsCollection.jl.git	404
Asimov	d6cb2d2e-c0e1-4728-a899-ef9458c69435	https://github.com/eduardosalaz/Asimov.jl.git	404
Atmosphere	2c84d669-3b95-46c3-a358-9a76f739ac9c	https://github.com/rjdverbeek-tud/Atmosphere.jl.git	404
AuthGG	73b108b0-3f95-4bd2-8c7c-23af2537d260	https://github.com/Geographs/AuthGG.jl.git	404
Beauty	e5fb2512-507e-11e9-3018-95af41067f06	https://github.com/Quantum-Factory/Beauty.jl.git	404
BigG	75185e45-e16e-4c90-beee-275c7fc4acba	https://github.com/Moelf/BigG.jl.git	404
BitemporalPostgresDDL	c0a9bebe-16b7-413a-a76c-3b37481804e9	https://github.com/Kaeptenblaubaer/BitemporalPostgresDDL.jl.git	404
BraidChains	2f0bda38-0aac-4c24-8082-32a9a5324934	https://github.com/PeaceFounder/BraidChains.jl.git	404
CDLmotif	31692b3b-61a6-410b-a229-5e9354f2e019	https://github.com/kchu25/CDLmotif.jl.git	404
CUDA_Driver	a6be3551-5000-4724-bfab-551d491a12f7	https://github.com/JuliaGPU/CUDA_Driver.jl.git	404
CircuitComponentRounding	e5143800-6ee0-4b40-b4db-1d4259db07c9	https://github.com/KronosTheLate/CircuitComponentRounding.jl.git	404
ClusterEnsembles	e493a4bf-88d6-40ad-84dc-847a9b000e38	https://github.com/tsano430/ClusterEnsembles.jl.git	404
CooperativeGames	4bb2c6fa-c716-443c-bd78-f2a2f3c4e880	https://github.com/NoFishLikeIan/CooperativeGames.jl.git	200
CountdownLetters	ab51929a-ac93-4d67-a0ea-9824f8544b9e	https://github.com/bcbi/CountdownLetters.jl.git	404
CountdownNumbers	dc1670bf-010d-423c-baea-ccde1e2dde80	https://github.com/bcbi/CountdownNumbers.jl.git	404
DTALib	f55e719c-a8af-45e7-9c94-698398622baa	https://github.com/MUsmanZahid/DTALib.jl.git	404
DataDogClient	be9d7f57-3392-4762-97ee-7c9806ef4e00	https://github.com/GLCS/DataDogClient.jl.git	404
DogAPI	e241e3f8-b5bc-4834-a945-877018c5ef6c	https://github.com/thexxiv/DogAPI.jl.git	404
DrillMudsThermalProps	353a8573-383f-4727-b0e9-478950a5ec11	https://github.com/Eduardo-BDMAlves/DrillMudsThermalProps.jl.git	404
DutyCycles	85f775e4-5132-11e9-29db-1f7edb98f041	https://github.com/Quantum-Factory/DutyCycles.jl.git	404
Estapir	b3701df6-d9dc-468b-b8b3-43cf0e13d0c8	https://github.com/lucianolorenti/Estapir.jl.git	404
ExtremalOptimization	3b6521e1-56b2-406b-b1f7-6ae6ec1fb69e	https://github.com/francescoalemanno/ExtremalOptimization.jl.git	404
FrequencySweep	a173ecca-d819-46be-893e-979583f5a0a2	https://github.com/jchristopherson/FrequencySweep.jl.git	404
GAPTypes	cd4130c4-8d21-11e9-2a29-61e008680c2d	https://github.com/oscar-system/GAPTypes.jl.git	404
GCTAccess	1826ff36-e735-464f-baa4-30cb618cd5cb	https://github.com/KwatMDPhD/GCTAccess.jl.git	404
GMTAccess	4908299a-382f-4474-b696-db03060d32c1	https://github.com/KwatMDPhD/GMTAccess.jl.git	404
GPMLj	261d18cc-621b-11ea-1fb1-6780d106abdc	https://github.com/TuringLang/GPMLj.jl.git	404
GPnet	1e25b1b3-a3a0-53b8-8729-934c9d7c4cc0	https://github.com/TuringLang/GPnet.jl.git	404
Granular	f5c4805d-b585-58fe-b08a-e9c59614aa64	https://github.com/anders-dc/Granular.jl.git	404
GraphicsMath	c7a8a04f-9555-4fea-9aa6-9f2fbff5049a	https://github.com/JuliaGameDev/GraphicsMath.jl.git	404
HTML5	205e633a-858c-4dbb-8a70-2404f270abcf	https://github.com/tconwell/HTML5.jl.git	404
HighLevelTypes	66835562-f1c4-5586-a145-e564a3963a4b	https://github.com/atoptima/HighLevelTypes.jl.git	404
InfrastructureSensing	88be2ce5-dfe4-4538-82c0-aa279cdf463c	https://github.com/rbalexan/InfrastructureSensing.jl.git	404
IterativeNelderMead	c4497e51-e72c-4304-bf71-922071a3f507	https://github.com/astrobc1/IterativeNelderMead.jl.git	200
KelvinletsImage	c268e415-724e-5440-8745-890f0ae6d2bf	https://github.com/GuilhermeHaetinger/KelvinletsImage.jl.git	404
LibSymspg	2098c8a6-82c4-11e9-1f54-e72760d085ce	https://github.com/unkcpz/LibSymspg.jl.git	404
Lints	969b4477-8239-4824-a7ce-fb2a72cbc115	https://github.com/FermiQC/Lints.git	200
MLJScikitLearn	8243b59d-e2f9-4d7c-a464-631a5f298ce7	https://github.com/tlienart/MLJScikitLearn.jl.git	404
MackeyGlass	5eb54613-e1e4-5bb3-a6bc-ad608a6b2204	https://github.com/JonathanCourtois/MackeyGlass.jl.git	404
MaximumLikelihoodPower	b27c85e4-d77a-5c9d-b9af-900830bae76b	https://github.com/jlapeyre/MaximumLikelihoodPower.jl.git	200
MaxwellInterface	7207f3b3-84f3-4c9f-b950-dd331d8ad5c8	https://github.com/MKAbdElrahman/MaxwellInterface.jl.git	404
Maybe	334f122f-1118-46cc-837f-bff747ee6f78	https://github.com/JuliaPreludes/Maybe.jl.git	200
MeshFinder	94afc05e-a560-4acd-8e11-a7bb2c092f45	https://github.com/PetrKryslUCSD/MeshFinder.jl.git	404
MeshKeeper	484b717a-98b9-4b0c-89dc-fb7d7e739263	https://github.com/PetrKryslUCSD/MeshKeeper.jl.git	404
MeshMaker	eff96cbd-3442-458f-9fe2-6cad589fe5e1	https://github.com/PetrKryslUCSD/MeshMaker.jl.git	404
MeshPorter	ba998677-2e4b-4950-b481-8cc4322dc218	https://github.com/PetrKryslUCSD/MeshPorter.jl.git	404
Microscopes	e2e16d05-ec94-40b7-b355-ae0fb683d354	https://github.com/congUoM/Microscopes.jl.git	404
MirroredArrayViews	b32b01fb-8833-5495-9754-2f5f3e3ebfd4	https://github.com/slmcbane/MirroredArrayViews.jl.git	404
